Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range,Qualification,New_Skills
MCF-2020-0070151,Permanent,Technology Consultant,SIMPLIFYNEXT PTE. LTD.,Posted 24 Mar 2020,3,Professional,Consulting Information Technology,Bachelor Degree 3-5 consulting technology organization Excellent communications inter-personal passion deliver quality At 1 delivering RPA projects UiPath Automation Anywhere platforms Knowledge one solutions would preferred mandatory - ABBYY FlexiCapture Google AI Machine Learning Amazon Rekognition . Experience developing solutions based one technologies,4000.0,7000.0,5500.0,Med,%degree,%machine learning
MCF-2020-0069107,Permanent,A1 Support Engineer,DATAROBOT SINGAPORE PTE. LTD.,Posted 23 Mar 2020,3,Professional,Information Technology,Respond support request customers DataRobot Platform Triage problems DataRobot Platform customer enterprise Work DataRobot subject matter experts data scientists engineers resolve customer issues Assist support management develop support models enable fanatical support Design support strategies services enable customers gain optimal value platform Learn DataRobot Platform keep learning creating new products features techniques Document customer problems resolutions Develop career data science Experience enterprise SaaS products AWS Experience support processes procedures Data Analyst Data Operations working BI tools. Experience SQL R Python Experience working Linux Strong verbal written communication 3+ analytical technical support role graduated passion learn interested Bachelor degree relevant field (Computer Science Statistics Math) equivalent A degree statistics math computer science data science Experience Jupyter Anaconda Experience Data Science Data Analyst Data Operations working big data. Respond support request customers DataRobot Platform Triage problems DataRobot Platform customer enterprise Work DataRobot subject matter experts data scientists engineers resolve customer issues Assist support management develop support models enable fanatical support Design support strategies services enable customers gain optimal value platform Learn DataRobot Platform keep learning creating new products features techniques Document customer problems resolutions Develop career data science,5000.0,12500.0,8750.0,High,%degree%computer science%statistic%math,python%sql%linux%aws%jupyter
MCF-2020-0069725,Contract,Event Project Manager,SCIENTE INTERNATIONAL PTE. LTD.,Posted 23 Mar 2020,4,Manager,Banking  Finance,Degree business marketing communications relevant field study 4+ event planning/marketing logistics ( execution) small large scale events Ability drive success event management project management Ability travel independently AWS Cloud basic . Understand latest trend artificial intelligence machine learning. End end event execution event management selection event promotion staffing budgeting event management post event follow Align & Calibrateevents based factors events goals type events campaigns Work closely internal external stakeholders including internal cloud communications project Developand approach new existing game players Report & players progress Advocate relevant continuous new existing players keep game.,6500.0,8500.0,7500.0,High,%degree%business,%aws%machine learning%cloud
MCF-2020-0069692,Permanent,Research Fellow,NATIONAL UNIVERSITY OF SINGAPORE,Posted 23 Mar 2020,1,Professional,Sciences  Laboratory  R&D,Artificial Intelligence Computational Biology Database Media Programming Languages & Software Engineering Security Systems Networking A PhD degree relevant area Good publication record Experience research.,5500.0,8250.0,6875.0,High,phd%degree%engineering,%.net
MCF-2020-0069198,Permanent,Principal (Data / AI / Analytic),INFOSYS CONSULTING PTE. LTD.,Posted 23 Mar 2020,10,Middle Management,Consulting,Demonstrated Digital/Data/AI Analytics adoption strategies AI/Data Scientist/Data Insights: To elevate analytics business strategies capabilities including artificial intelligence(AI) machine learning data science business intelligence. Ability prepare data sets insights ascertain meaningful insights data sets create message visualization data analytics tools like SAS SQL Adobe Tableau Qlikview MSBI In-depth passion analytics across ecosystem including ( limited ) strategy technology process business technology transformations Experience advisory project space including consulting contracting internal advisory function data strategy execution space financial services / Telcos Ability augment clients analytics information / data strategy help execution improve products services offering increased value client business Ability piece together disparate sets data/information find ways collect aggregate store present meaningful information Data Strategist/Strategy Data Transformation - Expertise implementation AI/Analytics/data management strategies including aspects data governance architecture data security. Experience part running project/program delivery budget management establishing project controls risks issues roadblocks appropriately addressed / mitigated Experience Consulting additional plus. Understanding standard data modelling tools assets. Conceptualise technical architecture data architecture solution Assess analyse complex BI/EPM contexts develop - architecture business case Own deliver business outcomes technology solutions within large organisations Understanding data modelling context big data real-time data Masters basic project management . Manages scope timeline resources deliverables value client Infosys. Reports status issues manages risks. Functional experts across domains- IoT AI Blockchain AR/VR Cloud Machine Learning Data Management Data architecture. Leads client delivery teams Establishes focus area deployment delivery area Begins contribute thought leadership IP focus area Develops focus area specialization. Builds personal Bachelors degree Economics Engineering Strategy Statistics similar required advanced degree (Masters MBA PhD .) preferred Relevant management consulting e.g. growth strategy development business case creation customer strategy journey segmentation advanced analytics model creation operating model process cost operations optimization IT cloud strategy . Tertiary qualifications relevant subject business computer science digital marketing . Analytical Skills: Ability articulate complex analytical requirements findings common non-technical terms. Collaborative social: Must communicate well wide variety people. Exceptional Communication . Strong Problem Solving Skills:See world unique viewpoints provide lightbulb moments clients. Relationship Management-Build manage relationship clients internal stakeholders,10000.0,14000.0,12000.0,High,phd%master%degree%computer science%engineering%statistic%business,%sql%tableau%sas%git%machine learning%cloud%optimization%qlik
MCF-2020-0069190,Permanent,Senior Principal (Data / AI / Analytics),INFOSYS CONSULTING PTE. LTD.,Posted 23 Mar 2020,10,Middle Management,Consulting,Demonstrated Digital/Data/AI Analytics adoption strategies AI/Data Scientist/Data Insights: To elevate analytics business strategies capabilities including artificial intelligence(AI) machine learning data science business intelligence. Ability prepare data sets insights ascertain meaningful insights data sets create message visualization data analytics tools like SAS SQL Adobe Tableau Qlikview MSBI In-depth passion analytics across ecosystem including ( limited ) strategy technology process business technology transformations Experience advisory project space including consulting contracting internal advisory function data strategy execution space financial services / Telcos Ability augment clients analytics information / data strategy help execution improve products services offering increased value client business Ability piece together disparate sets data/information find ways collect aggregate store present meaningful information Data Strategist/Strategy Data Transformation - Expertise implementation AI/Analytics/data management strategies including aspects data governance architecture data security. Experience part running project/program delivery budget management establishing project controls risks issues roadblocks appropriately addressed / mitigated Experience Consulting additional plus. Understanding standard data modelling tools assets. Conceptualise technical architecture data architecture solution Assess analyse complex BI/EPM contexts develop - architecture business case Own deliver business outcomes technology solutions within large organisations Understanding data modelling context big data real-time data Lead key client stakeholder relationships managing overall delivery domains- IoT AI Blockchain AR/VR Cloud Machine Learning Data Management Data architecture. Represents Infosys client leads teams interactions client Manages complex client delivery programs Establishes clear platform builds IP deliver platform offerings Coaches project members hard . Adjusts style approach get individual Opens conversations new existing clients lead revenue generating opportunities. Presents effectively sales meetings sell self others Masters advanced presentation . Delivers complex presentations leads senior management discussions. Delivers effective sales pitches Bachelors degree Economics Engineering Strategy Statistics similar required advanced degree (Masters MBA PhD .) preferred Relevant management consulting e.g. growth strategy development business case creation customer strategy journey segmentation advanced analytics model creation operating model process cost operations optimization IT cloud strategy . Tertiary qualifications relevant subject business computer science digital marketing . Analytical Skills: Ability articulate complex analytical requirements findings common non-technical terms. Collaborative social: Must communicate well wide variety people. Exceptional Communication . Strong Problem Solving Skills:See world unique viewpoints provide lightbulb moments clients. Relationship Management-Build manage relationship clients internal stakeholders,13000.0,18000.0,15500.0,High,phd%master%degree%computer science%engineering%statistic%business,%sql%tableau%sas%git%machine learning%cloud%optimization%qlik
MCF-2020-0068885,Contract Permanent,Software Architect (Special Projects) AI3 A*STAR,A*STAR RESEARCH ENTITIES,Posted 22 Mar 2020,15,Manager,Engineering Sciences  Laboratory  R&D,Key person drive software capabilities required developing intermediate milestones delivery Manage software development leads well ensure quality software low . Provide technical solutioning piece together certain software capabilities potentially huge capability Develop Software Design Document well necessary sub-components software teams achieve increased Technology Readiness Level Develop necessary data-flows sub components software teams achieve 15+ Bachelor degree Electrical/Electronics/Computer Engineering. Technical data management/artificial intelligence preferred Project management Multi-stakeholder management People- drive collaboration across government Strong programming quantitative (e.g. statistical analysis) Ability independently small teams,7900.0,13800.0,10850.0,High,%degree%engineering%statistic%computer engineering,
MCF-2020-0068574,Contract,Research Engineer / Scientist Computational Linguistics (1-yr contract) SOL,STAFFONDEMAND PTE. LTD.,Posted 20 Mar 2020,2,Manager,Engineering,reading academic papers standards publications material blog posts presentations coming speed fields may new computational linguistics mathematical logic programming language formal verification model-based architecture reading ( updating/commenting relevant) existing software documentation creating presentations video recordings walkthroughs . document explain research done writing ( presenting decided PI) academic papers materials publication documenting sufficiently-detailed manner share learned. learning use third party tools including editors IDEs databases business process modeling software programming languages libraries evaluating competing software systems suitability building infrastructure enable application development managing managing fellow members engaging product project program management needed reading books consuming media forms software development writing documentation user/developer-facing manuals tutorials delivering community support users customers preparing presentations represent project external audiences writing actual user-facing applications throughout full stack,4000.0,7000.0,5500.0,Med,%math%business,
MCF-2020-0068569,Contract,Research Engineer / Scientist Symbolic AI (1-year contract) SOL,STAFFONDEMAND PTE. LTD.,Posted 20 Mar 2020,2,Manager,Engineering,reading academic papers standards publications material blog posts presentations coming speed fields may new computational linguistics mathematical logic programming language formal verification model-based architecture reading ( updating/commenting relevant) existing software documentation creating presentations video recordings walkthroughs . document explain research done writing ( presenting decided PI) academic papers materials publication documenting sufficiently-detailed manner share learned. learning use third party tools including editors IDEs databases business process modeling software programming languages libraries evaluating competing software systems suitability building infrastructure enable application development managing managing fellow members engaging product project program management needed reading books consuming media forms software development writing documentation user/developer-facing manuals tutorials delivering community support users customers preparing presentations represent project external audiences writing actual user-facing applications throughout full stack,4000.0,7000.0,5500.0,Med,%math%business,
MCF-2020-0067980,Permanent,DIRECTOR OF INFORMATION SYSTEMS,ZEBRA TECHNOLOGIES ASIA PACIFIC PTE. LTD.,Posted 20 Mar 2020,15,Senior Management,Information Technology,Oversees formulation strategy development technology roadmaps ensures alignment across functional units tight alignment IT teams Shares point view business processes technology capabilities supported IT Enterprise Solutions Architecture Delivery Security . Oversees performance information technology delivery IT services ensure business value realized. Works directly business information technology user groups service providers assess prioritize needs way established portfolio planning processes. Leads development execution service level agreements. Handles feedback users communicates scorecards improvement strategy. Manages cost analysis identify cost effective solutions existing future needs. Researches new technologies trends align corporate business strategies. Communicates business IT teams simple relevant ways. Partner business leadership complex detailed strategy discussions translating roadmaps priorities. Leads roadmap discussions teams create IT/Business Roadmaps Leads activities align Business IT Industry strategies Organise activities understand value projects Business terms including KPIs Lead Business Impact Assessments IT business teams Advocate Process & Technology Standards Gather respond complex Voice Customer input supports strategic business transformation innovation activities Lead develop Business Facing RFPs Leads identification Projects Priorities strategies Handles creation complex Business Cases approval Present Projects Senior Executive leaders awareness approval Oversees reviews ensure project scope objective approach line Organizational Change Management plans deliverables required (phase) project. Ensure Readiness Assessments completed prior go-live projects Own Value Realization Analysis projects implementation measure budget performance business value realized. Handle customer issues business partners levels organization maintain relationship dashboard key partners within region Oversees identification implementation process Improvements Provides visibility cost IT services (show ) region Collaborates provides analytics new ideas services quality groups align improve future desired outcome performance. Communicate Business Leadership consistently identify opportunities continuous improvement. Connects business needs IT capabilities provide strategic guidance business initiatives. Coordinates development Multiyear IT roadmaps Business strategy desired capabilities. Be face IT organization define IT drives IT needs . Ensures effective relationship engagement communications keeps executives aware red budget integration process. Works closely leadership analyze trends understand business requirements. Serves leader within IT organization resolution IT issues supported business units. Develops Key Performance Indicators metrics across partnerships Publishes IT SLA function specific budgets QBR results business functions quarterly heat map Business function leader Responsible supporting enabling IT capabilities Services region including aspects project portfolio planning business case development process application roadmaps. Provide proactive IT demand pipeline: prioritize according business needs. Help ensure right initiatives benefits fully realized throughout enterprise. Interprets function business plans technology enable organization meet goals. Work closely Project Management Office (PMO) internal IT Delivery functions ensure alignment IT demand supply Supports initiative teams process excellence project management problem solving value creation drive required outcomes help identify resolve capacity red issues leadership attention. Periodically IT adding value Business Units. Reports benefits realization large programs IT services aggregate. Identifies facilitates resolution complex cross-functional issues leadership . Conducts impact analysis assessment IT projects creates process improvement recommendations business leadership. Partners business function leading change communication changing coordination approval . Acts main point contact customer concerns Business unit. Facilitates resolution critical issues connecting responsible parties. Influences discussions issue resolution. Bachelors Degree required. Advanced Degree MBA preferred. Minimum 15+ functional business function dynamic IT Business Relationship Management role preferably global high tech companies. 8+ facilitating development implementation business initiatives people leading Familiar matrix environment outstanding multi level partnership Knowledge Machine Learning Artificial Intelligence Robotics/Automation Data Services well Subscription based production/solution business model preferred Experience Budget/financial management project management methodologies including Agile development methodologies culture Superb communication interpersonal comfort working engaging executive levels. Strategic thinker strong influencing relationship-building Highly skilled experienced negotiating problem-solving achieve win-win outcomes. Ability research understand industry technology trends apply business problems,16000.0,22000.0,19000.0,High,%degree%business,%agile%machine learning
